ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"289","fenamidone","RPA 407213",,,,,,,,
"290","fenamiphos","BAY 68138","phenamiphos","methaphenamiphos","SRA 3886",,,,,
"291","fenarimol","EL 222",,,,,,,,
"292","fenazaquin","DE 436","XDE 436","XRD 562","EL-436",,,,,
"293","fenbuconazole","RH 7592","fenethanil","RH 57592",,,,,,
"294","fenbutatin oxide","ENT 27738","hexakis","SD 14114","BAS 2981",,,,,
"297","fenfuram","WL 22361","fenfurame",,,,,,,
"298","fenhexamid","KBR 2738","TM-402","fenhexamide",,,,,,
"299","fenitrothion","OMS 43","MEP","OMS 223","ENT 25715",,,,,
"300","fenoprop",,"silvex","2,4,5-TP",,,,,,
"301","fenothiocarb","KCO 3001","B1 5452",,,,,,,
"302","fenoxaprop-ethyl",,,,,,,,,
"303","fenoxaprop-P-ethyl","AE F046360","HOE 046360",,,,,,,
"304","fenoxycarb","OMS 3010","CGA 114597",,,,,,,
"306","fenpropathrin","OMS 1999","S 3206",,,,,,,
"307","fenpropidin","CGA 114900","fenpropadine","Ro-123049/000",,,,,,
"308","fenpropimorph","CGA 101031","fenpropimorphe","BAS 421F",,,,,,
"309","fenpyroximate","NNI 850",,,,,,,,
"311","fentin acetate","OMS 1020","organotin","ENT 25208","AE F002782","HOE 002782","phentin acetate",,,
"312","fentin hydroxide",,"organotin",,,,,,,
"313","fenuron",,"fenidim","fenulon","PDU",,,,,
"315","ferbam","ENT 14689","ferbame","FE-95",,,,,,
"318","flamprop-M-isopropyl","WL 43425","flamprop-M","CL 901444","AC 901444","L-flamprop-isopropyl",,,,
"319","flazasulfuron","OK 1166","SL 160",,,,,,,
"320","flocoumafen","BAS 322l","WL 108366","CL 183540",,,,,,
"321","flonicamid","IKI 220","F 1785",,,,,,,
"322","florasulam","DE 570",,,,,,,,
"323","fluazifop-butyl","SL 236","TF 1169",,,,,,,
"324","fluazifop-P-butyl","R154875","PP 005","SL 118",,,,,,
"325","fluazinam","IKF 1216","B 1216","CHA-580","MCW",,,,,
"326","fluazolate",,"isopropozole","JV 485","MON 48500",,,,,
"327","flubenzimine","BAY SLJ 0312",,,,,,,,
"328","flucycloxuron","OMS 3041","DU 319722","UBI A1335","PH 7023",,,,,
"329","flucythrinate","OMS 2007","CL 222705","BAS 329","fluorocythrin",,,,,
"330","fludioxonil","CGA 173506","fludioxonyl",,,,,,,
"331","flufenacet","FOE 5043","fluthiamide","fluofenacet ","thiafluamide",,,,,
"332","flufenoxuron","BAS 3071","AC 811678","WL 115110",,,,,,
"333","diflovidazin","SZ1 121","diflovidazin","flufenzine","diflondazin",,,,,
"334","flumetsulam","DE 498","XRD 498",,,,,,,
"335","flumioxazin","S 53482","flumioxazine",,,,,,,
"336","fluometuron",,,,,,,,,
"337","fluopicolide","AE C638206",,,,,,,,
"338","fluoroacetamide",,"monofluoroacetamide",,,,,,,
"339","fluoroglycofen",,"fluoroglycofene","benzofluorfen",,,,,,
"340","fluoxastrobin","HEC 5725","AE 1228646",,,,,,,
"341","flupyrsulfuron-methyl-sodium",,"flupyrsulfuron-methyl-sodium",,,,,,,
"342","fluquinconazole","AE C597265","SN 597265",,,,,,,
"344","flurenol",,"flurecol",,,,,,,
"345","fluridone",,,,,,,,,
"346","flurochloridone","R 40244","fluorchloridone","fluorkloridon","flurocloridona","FLC","fluorochloridone",,,
"347","fluroxypyr","DOW 43304-H","fluroxypyr acid",,,,,,,
"348","flurprimidol","EL 500","flurprimidole",,,,,,,
"349","flurtamone","RPA 590515","SX 1802","RE 40885",,,,,,
"350","flusilazole","DPX H6573",,,,,,,,
"351","flusulfamide","MTF 651",,,,,,,,
"352","flutolanil","NNF 136",,,,,,,,
"353","flutriafol","PP 450",,,,,,,,
"354","folpet",,"folpel","folpan","phthaltan ","trichloromethylthiophthalimide",,,,
"355","fomesafen","PP 021","fomesafene","fomesafen acid",,,,,,
"356","fonofos","N-2790","fonophos","dyfonate","difonate",,,,,
"1","1,3-dichloropropene","D D92","alpha-chloroallyl chloride","gamma-chloroallyl chloride","DCP","dichloro-1,3-propene","1,3-D","dichloropropene",,
"357","foramsulfuron","AE F130360",,,,,,,,
"358","forchlorfenuron","KT 30","SKW 20010","CPPU","forchlorfenur","4PU-30",,,,
"360","formetanate","SN 36056",,,,,,,,
"361","formothion","SAN 6913I","ENT 27257","OMS 968","J-38",,,,,
"362","fosamine","DPX 1108","carbamoyl-ethoxy-phosphinic acid ",,,,,,,
"363","fosetyl-aluminium","RP 32545","fosetyl","efosite-Al","EPAL","aluminium phosethyl","LS 74783 ","fosetyl-Al",,
"364","fosthiazate","IKI 1145",,,,,,,,
"365","fuberidazole",,"furidazol","furidazole","fuberidazole (MBC)",,,,,
"366","furalaxyl","IPE 134","CGA 38140",,,,,,,
"367","furathiocarb","CGA 73102",,,,,,,,
"368","furfural",,"cyclic aldehyde",,,,,,,
"369","gamma-cyhalothrin","DE 225","XDE 225",,,,,,,
"372","glufosinate-ammonium","HOE 039866","phosphinothricin ammonium","AE F039866","HOE 00661",,,,,
"373","glyphosate","MON 0573","CP 67573","sulfosate","2-[(phosphonomethyl)amino]acetic acid",,,,,
"374","guazatine","EM 379","guanoctine","MC 25","guazatine triacetate",,,,,
"375","halfenprox","MTI 732","brofenprox","fubfenprox",,,,,,
"376","halofenozide","RH 0345","halofenoxide","CL 290816",,,,,,
"378","heptachlor","ENT 15152","heptachlore","E3314","H-34","OMS 193",,,,
"381","hexachlorophene",,"nabac","HCP","hexachlorophane",,,,,
"383","hexaflumuron","XRD 473","DE 473",,,,,,,
"384","hexazinone","DPX A3674","DPX-3674",,,,,,,
"385","hexythiazox","NA 73",,,,,,,,
"386","hydramethylnon","BAS 315l","AC 217300","CL 217300",,,,,,
"388","hymexazol","F 319","hydroxyisoxazole","SF 6505",,,,,,
"391","imazamethabenz-methyl","AC 222293","imazamethabenz, methyl variant","CL 222293",,,,,,
"392","imazamox","BAS 720H","AC 299263","CL 299263",,,,,,
"393","imazapyr",,"imazapyr acid",,,,,,,
"394","imazaquin","BAS 725H","AC 252214","CL 252214",,,,,,
"395","imazethapyr","AC 252925","CL 252925",,,,,,,
"396","imazosulfuron","TH 913","URA-09800-H-0-WG",,,,,,,
"398","iminoctadine",,,,,,,,,
"399","indoxacarb","DPX KN128","DPX KN127","DPX MP062",,,,,,
"401","iodosulfuron-methyl-sodium","AE F115008",,,,,,,,
"403","iprodione","ROP 500F","glycophene","NRC 910",,,,,,
"404","iprovalicarb","SZX 0722","SZX 722",,,,,,,
"405","isazofos","CGA 12223","isazophos",,,,,,,
"406","isofenphos","BAY SRA 12869","isophenphos","BAY 92114",,,,,,
"407","isopropalin","EL-179","isopropaline","paarlan","HSDB 6687",,,,,
"408","isoprothiolane","SS 11946","IPT","NNF 109",,,,,,
"409","isoproturon","HOE 16410","IPU","ipuron","CGA 18731","AE F016410",,,,
"410","isoval",,"PMP","valone","2-isovaleryl-1,3-indandione ",,,,,
"411","isoxaben","EAF 496","benzamizole","benzamidazole","EL 107",,,,,
"412","isoxaflutole","RPA 201772",,,,,,,,
"413","isoxathion","SL 6711","E 48",,,,,,,
"414","kresoxim-methyl","BAS 490F",,,,,,,,
"415","lambda-cyhalothrin","OMS 3021","PP 321","gamma-cyhalothrin",,,,,,
"417","lenacil","DPX B634","lenacile",,,,,,,
"419","linuron","HOE 02810","DPX Z0326","AE F002810",,,,,,
"422","maleic hydrazide",,"maleic hydrazide acid ","MH",,,,,,
"424","mancozeb",,"manzeb",,,,,,,
"425","mandipropamid","NOA 446510",,,,,,,,
"426","maneb","ENT 14875","manebe",,,,,,,
"428","MCPB","MB 3046","2,4-MCPB","L-338","MCPB acid",,,,,
"429","mecarbam","MC 474","mecarbame","P-474",,,,,,
"430","mecoprop","RD 4593","MCPP","mechlorprop","CMPP","mecoprop acid",,,,
"431","mecoprop-P","BAS 037H","CMPP-P","MCPP-P","mechlorprop-P","RP 591066",,,,
"432","mefenacet","FOE 1976","NTN 801",,,,,,,
"434","mefluidide","MBR 12325",,,,,,,,
"436","mephosfolan","ENT 25991 ","mephospholan","cytrolane",,,,,,
"437","mepiquat chloride","BAS 083W",,,,,,,,
"438","mepronil","B1 2459",,,,,,,,
"439","meptyldinocap","DE 126","GF-1478",,,,,,,
"440","merphos",,"tributyl phosphorotrithioite","tributylphosphorotrithioite","folex","merfos",,,,
"441","mesosulfuron-methyl","AE F130060","mesosulfuron",,,,,,,
"442","mesotrione","ZA 1296",,,,,,,,
"444","metalaxyl","CGA 48988",,,,,,,,
"445","metalaxyl-M","CGA 329351","mefenoxam","R-metalaxyl",,,,,,
"446","metaldehyde",,"acetaldehyde tetramer",,,,,,,
"447","metam-sodium","N 869","metham","methylcarbamodithioic acid, sodium salt","carbam","carbathion","metam","metham-sodium",,
"448","metamitron","BAY DRW 1139","metamitrone","methiamitron","BAY 134028",,,,,
"450","metazachlor","BAS 47900H","metazachlore",,,,,,,
"451","metconazole",,,,,,,,,
"452","methabenzthiazuron","BAY 74283 ","methibenzuron","S25128",,,,,,
"454","methazole","VCS-438","metazol","mezopur","oxydiazol","bioxone","chlormethazole",,,
"455","methfuroxam",,"fenfuroxam","furoxam",,,,,,
"456","methidathion","ENT 27193 ","OMS 844",,,,,,,
"457","methiocarb","OMS 93","mercaptodimethur","ENT 25726",,,,,,
"461","methoxyfenozide","RH 2485","RH 112485",,,,,,,
"462","bromomethane",,"methyl bromide","monobromomethane","methyl fume",,,,,
"463","metiram","BAS 222F","carbatene","metirame","zinc metiram ","polyram","FMC 9102",,,
"464","metobromuron","C 3216","monobromuron","metbromuron","metobromurone",,,,,
"465","metolachlor","CGA 24705","metolachlore",,,,,,,
"466","metosulam","XDE 511","metosulame","DE 511","XRD 511",,,,,
"467","metoxuron","SAN 6915H","SAN 7102H",,,,,,,
"468","metrafenone","BAS 560F","AC 375839",,,,,,,
"469","metribuzin","DPX G2504","metribuzine","DIC 1468","AE F055208",,,,,
"471","mevinphos","ENT 22374","phosdrin","duraphos","mevinox","phosdrine","menite",,,
"473","molinate","OMS 1373","R 4572",,,,,,,
"474","monalide","SN 35830","pentanamide","potablan",,,,,,
"475","monolinuron","HOE 002747","AE F002747",,,,,,,
"476","monuron",,"chlorfenidim","CMU",,,,,,
"478","myclobutanil","RH 3866",,,,,,,,
"479","nabam",,"nabame","DSE","parzate",,,,,
"480","naled","OMS 75","bromchlophos","BRP","dibrom","hibrom","bromex",,,
"481","napropamide","R 7465",,,,,,,,
"482","naptalam","ACP 322","alanap","naptalam-sodium","naphthalam",,,,,
"483","neburon",,"neburea","neburex",,,,,,
"484","nicosulfuron","DPX V9360","SL 950","MU 495","nicosulphuron","DPX V9636",,,,
"486","norflurazon","H 52143","norflurazone","H 9789","monometflurazon",,,,,
"487","novaluron","GR 572","MCW 275","SB 7242",,,,,,
"488","nuarimol","EL 228","triminol",,,,,,,
"489","octhilinone","RH 893","Skane M8",,,,,,,
"490","ofurace","AE F057623","RE 20615","milfuram","RE 20615","HOE 057623",,,,
"493","orbencarb","B-3356","orthobencarb","C11087",,,,,,
"494","oryzalin","EL 119","dinitrodipropylsulfanilamide","dirimal","surflan",,,,,
"495","oxadiargyl","RP 020630 ",,,,,,,,
"496","oxadiazon","RP 17623 ","oxydiazon","oxadiazo",,,,,,
"497","oxadixyl","SAN 371F","oxadixil","sandofan","acetamide",,,,,
"498","oxamyl","DPX D1410","thioxamyl","oxamil","vydate","dioxamyl",,,,
"499","oxasulfuron","CGA 277476 ",,,,,,,,
"501","oxydemeton-methyl","ENT 24964","methylmercaptophos oxide","R 2170","isomethylsystox sulfoxide","metaisosystox sulfoxide","BAY 21097",,,
"502","oxyfluorfen","RH 2915","oxyfluorofene","oxyfluorfen",,,,,,
"504","paclobutrazol","PP 333","paclobutrazole",,,,,,,
"505","paraquat","PP 148","orthoparaquat","PP 910",,,,,,
"506","parathion-ethyl","OMS 19","parathion","thiophos","ethyl parathion","BAY 9491","ENT 15108","AC 3422",,
"507","parathion-methyl","OMS 213","metaphos","meptox","thiophenit","quinophos","methyl-parathion",,,
"508","pebulate","R 2061","tillam","PEBC",,,,,,
"509","penconazole","CGA 71818",,,,,,,,
"510","pencycuron","NTN 19701",,,,,,,,
"511","pendimethalin","AC 92553","pendimethaline","penoxalin","phenoxalin",,,,,
"512","penoxsulam","XDE 638","DE 638","DASH-001","DASH-1100",,,,,
"513","pentachlorophenol",,"PCP","penchlorol","chlorophen",,,,,
"514","pentanochlor","FMC 4512","solan","CMMP","pentanachlore",,,,,
"516","phenmedipham","SN 38584","fenmedifam ","phenmediphame","EP-452","betanal",,,,
"518","phenthoate","OMS 1075","dimephenoate","tanone","aimsan","ENT 27386","BAY 33051",,,
"519","phorate","ENT 24042","timet","AC 3911",,,,,,
"520","phosalone","ENT 27163","benzofos","benzphos","NPH 1090","O,O-diethyl phosphorodithioate",,,,
"522","phosphamidon","OMS 1325","foszfamidon","famfos","ENT 25515","C 570",,,,
"523","aluminium phosphide",,"aluminum monophosphide",,,,,,,
"525","picloram","X 159868","piclorame","picloram acid",,,,,,
"526","picolinafen","BAS 700H","AC 900001","CL 900001","picalinafen",,,,,
"527","picoxystrobin","ZA 1963","picoxystrolin","ZA 1963",,,,,,
"528","pinoxaden","NOA 407855",,,,,,,,
"530","pirimicarb","OMS 1330","pyrimicarbe","ENT 27766","PP-062",,,,,
"531","pirimiphos-ethyl","PP211","pyrimiphos-éthyl",,,,,,,
"532","pirimiphos-methyl","OMS 1424","pyrimiphos-méthyl","PP 511",,,,,,
"534","pretilachlor","CGA 26423","pretilachlore",,,,,,,
"536","prochloraz","BTS 40542","AE B080109","poraz",,,,,,
"537","procymidone","S 7131",,,,,,,,
"538","profenofos","OMS 2004","polycron","selecron","curacron","CGA 15324",,,,
"539","prohexadione-calcium","BAS 125W","KUH 833","KIM 112",,,,,,
"541","prometon","G 31435","prometone","2,4-prometone",,,,,,
"542","prometryn","C 34161","prometryne",,,,,,,
"543","propachlor","CP 31393","propachlore",,,,,,,
"544","propamocarb hydrochloride","SN 66752","propamocarb",,,,,,,
"545","propanil","FW 734","DCPA","3,4-DCPA","propanamide",,,,,
"546","propaquizafop","CGA 233380",,,,,,,,
"547","propargite","ENT 27226","BPPS","DO-14",,,,,,
"548","propazine","G 30028","prozinex","propazin","gesamil",,,,,
"550","propham",,"IPC","IFK",,,,,,
"551","propiconazole","CGA 64250",,,,,,,,
"552","propineb","BAY 46131","propinebe","methyl-metiram ",,,,,,
"554","propoxycarbazone-sodium","MKH 6561","propoxycarbazone","procarbazone-sodium","BAY MKH 6561",,,,,
"555","proquinazid","DPX KQ926","IN KQ926",,,,,,,
"556","propyzamide","RH 315","pronamide",,,,,,,
"557","prosulfocarb","SC 0574","ICI A0574",,,,,,,
"558","prosulfuron","CGA 152005","proszulfuron",,,,,,,
"559","prothioconazole","JAU 6476 ","AMS 21619",,,,,,,
"560","prothiofos","OMS 2006","protiophos","prothiophos","NTN 8629",,,,,
"561","prothoate","EI 18682","trimethoate","oleofac",,,,,,
"562","pymetrozine","CGA 215944","pimetrozin",,,,,,,
"564","pyraclostrobin","BAS 500F",,,,,,,,
"565","pyraflufen-ethyl","ET 751","NH 9301",,,,,,,
"566","pyrazophos","HOE 2873",,,,,,,,
"567","pyrazoxyfen","SL 49","pyrazoxyfene",,,,,,,
"569","pyridaben","BAS 300l","piridabena","NC 129",,,,,,
"570","pyridafenthion","ENT 23968)","piridafention","pyridiphenthion","CL 12503","NC-250","pyridiphenthion",,,
"571","pyridate","CL 11344","puridate",,,,,,,
"572","pyrifenox","CGA 179945","ethanone","NRK 297",,,,,,
"573","pyrimethanil","SN 100309","ZK 100309",,,,,,,
"575","pyroquilone","CGA 49104","pyroquilon",,,,,,,
"576","quinalphos","ENT 27397","chinalphos","SAN 6538","SAN 6626","diethquinalphion",,,,
"577","quinclorac","BAS 514H","facet","quinchlorac",,,,,,
"579","quinoclamine",,"CAN","ACNQ",,,,,,
"580","quinoxyfen","DE 795","quinoline",,,,,,,
"581","quintozene",,"PCNB","terraclor","pentachloronitrobenzene",,,,,
"582","quizalofop-ethyl","DPX Y6202","quizalofop","EXP 3864","FBC 32197","INY 6202","Xylofop-ethyl",,,
"583","quizalofop-P-ethyl","DPX 79376","quizalofop-P","NC-302-acid",,,,,,
"584","quizalofop-P-tefuryl","UBI C4874 ","pantera",,,,,,,
"585","resmethrin","OMS 1206","synthrin","OMS 1800","FMC 17370","SBP-1382",,,,
"586","rimsulfuron","DPX E9636","renriduron","cismethrin",,,,,,
"589","sethoxydim","BAS 9052H","sethoxydime","cyethoxydim","NP 55",,,,,
"590","siduron",,,,,,,,,
"591","silthiofam","MON 65500","silthiopham",,,,,,,
"592","simazine","G 27692","permazine ","symazine","taphazine",,,,,
"593","sintofen","SC 2053","cintofen","sintofene",,,,,,
"595","sodium chloride",,"common salt","rock salt","table salt",,,,,
"597","spirodiclofen","BAJ 2740",,,,,,,,
"598","spiromesifen","BSN 2060",,,,,,,,
"599","spiroxamine","KWG 4168",,,,,,,,
"600","sulcotrione","SC 0051","sulcotrion","ICI A0051",,,,,,
"601","sulfentrazone","FMC 97285","F6285",,,,,,,
"602","sulfluramid","GX 071","sulfluramide","1-octanesulfonamide","finitron","AL3-29757",,,,
"603","sulfosulfuron","MON 37500","TKM 19",,,,,,,
"604","sulfotep","ENT 16273","sulfotepp","dithio","dithione","thiotep","TEDP",,,
"606","sulphuric acid",,"sulfuric acid",,,,,,,
"607","sulprofos","NTN 9306","mercaprofos","mercaprophos","sulprophos","BAY 123234",,,,
"609","TCA-sodium",,"STCA","NaTA","NaTCA",,,,,
"610","tebuconazole","HWG 1608","fenetrazole","terbuconazole","terbutrazole","ethyltrianol",,,,
"611","tebufenozide","RH 5992 2F ","tebufenoxide","tebufonozide",,,,,,
"612","tebufenpyrad","AC 801757","MK 239","BAS 318l","SAN 831A",,,,,
"613","tebutam","GPC-5544","butam","tebutame","Ro 14–9480/000","CGA 39625",,,,
"614","tebuthiuron","EL 103",,,,,,,,
"615","tecnazene",,"TCN","TCNB","folosan",,,,,
"617","tefluthrin","R 151993","tefluthrine",,,,,,,
"619","tepraloxydim","BAS 620H","caloxydim","191819",,,,,,
"620","terbacil","DPX D732",,,,,,,,
"621","terbufos","AC 92100","sebuphos","terbuphos",,,,,,
"622","terbumeton","GS 14259","terbuthylon","terbutone",,,,,,
"623","terbuthylazine",,"bellacide",,,,,,,
"626","tetraconazole","M 14360","tetraconazol",,,,,,,
"627","tetradifon","ENT 23737","tedion","sulfone",,,,,,
"628","tetramethrin","ENT 27339","phthalthrin","neopynamin ",,,,,,
"630","thiacloprid","YRC 2894",,,,,,,,
"631","thiamethoxam","CGA 293343",,,,,,,,
"632","thiazafluron",,,,,,,,,
"633","thiazopyr","MON 13200","RH 123652",,,,,,,
"635","thifensulfuron-methyl","DPX M6316","thifensulfuron","thiameturon","M 6316","thifensulfuron ME",,,,
"636","thiobencarb","IMC 3950","benthiocarb","bencarb",,,,,,
"637","thiodicarb","OMS 3026","Al3 29311","CGA 45156","RPA 80600M",,,,,
"638","thiofanox","DS 15647","thiofanocarb",,,,,,,
"639","thiometon","SAN 230","dithiometon","M-81","ekatin",,,,,
"640","thiophanate-methyl","NF 44","thiophanate","thiofanate","banrot",,,,,
"641","thiourea",,"thiocarbamide","sulfourea","pseudothiourea",,,,,
"643","tiocarbazil","M 3432","drepamon",,,,,,,
"644","tolclofos-methyl","S 3349 ",,,,,,,,
"645","tolylfluanid","BAY 49854","tolylfluanide","BAY 5212","KUE 13183B",,,,,
"646","tralkoxydim","PP 604","tralkoxydime","tralcoxidime",,,,,,
"648","triadimefon",,"triadimefone","triadimenol metabolite M01",,,,,,
"650","tri-allate","CP 23426","triallate",,,,,,,
"651","triasulfuron","CGA 131036 ","triazsulfuron",,,,,,,
"652","triazamate","RH 7988","BAS 323l","AC 900050",,,,,,
"653","triazophos","HOE 002960 ","AE F002960",,,,,,,
"654","triazoxide","SAS 9244",,,,,,,,
"655","tribenuron-methyl","DPX L5300","tribenuron","metometuron","tribenuron ME",,,,,
"656","tribufos",,"DEF","butiphos","butifos","tribuphos",,,,
"658","trichloronate","Bayer 37289","trichloronat",,,,,,,
"659","triclopyr",,,,,,,,,
"660","tricyclazole","EL 291","tizole ","tricyclazone",,,,,,
"661","tridemorph","BAS 2205-F","morpholine","calixin",,,,,,
"662","tridiphane",,"nelpon","DowCo 356",,,,,,
"663","trietazine","G 27901","NC 1667",,,,,,,
"664","trifloxystrobin","CGA 279202","HSDB 7276",,,,,,,
"665","triflumizole","NF 114 ","trifmine",,,,,,,
"667","trifluralin","EL 152","trifluraline","treflan",,,,,,
"668","triflusulfuron-methyl","DPX 66037","triflusulfuron","IN 66037","T 478",,,,,
"669","triforine","AC 902194","SC 581211",,,,,,,
"671","trimethacarb","OMS 597","landrin","SD 8530",,,,,,
"672","trinexapac-ethyl","CGA 163935","trinexapac","cimectacarb-ethyl","cimectacarb",,,,,
"673","triticonazole","RPA 400727",,,,,,,,
"674","tritosulfuron",,,,,,,,,
"675","uniconazole","XE 1019","S-uniconazole","lomica","S 3307D",,,,,
"676","urea sulphate",,"urea sulfate","1-aminomethanamide dihydrogen tetraoxosulfate","urea dihydrogen sulfate","enquik",,,,
"678","vamidothion","ENT 26613",,,,,,,,
"679","vernolate","R-106","vernam","perbulate",,,,,,
"680","vinclozolin","BAS 352F","vinclozoline","vorlan",,,,,,
"681","warfarin",,"coumafene","coumaphene","zoocoumarin","warfarine",,,,
"682","zeta-cypermethrin","FMC 56701","zetacypermethrin","z-cypermethrin ","F 56701",,,,,
"683","zineb","ENT 14874","zinebe","metiram-zinc",,,,,,
"684","ziram",,"zirame","carbazinc","methyl zimate","zirthane","DADZ",,,
"685","zoxamide","RH 7281","benzamide","RH 117281","zoxium","HSDB 7278",,,,
"2","1-methylcyclopropene",,"1-MCP","MCP","methylcyclopropene",,,,,
"3","2,3,6-TBA","HC 1281","trichlorobenzoic acid","trichlorobenzene","trichlorobenzyl chloride metabolite","T-2",,,,
"686","topramezone","BAS 670 H",,,,,,,,
"1010","benalaxyl-M","IR 6141","kiralaxyl","IR 6141",,,,,,
"1011","pethoxamid","ASU 96 520H","pethoxamide","TKC 94",,,,,,
