ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"307","fenpropidin","CGA 114900","530","A5","250000","A5 Heptane","250000","A5 Xylene","250000","A5 Acetone","250000","A5 Ethyl acetate","-64.6","A5","Decomposes before boiling","A5","243","A5","156","L3","2.6","B5","17.0","A5","10.7","A5","R3","90","B4","109","A5","289","A5","49.2","A5",,,,,"EU dossier lab studies DT50 range 58-217 days, DT90 range 192-365 days, field studies DT50 range 7-116 days; Other studies: DT50 lab 87-98 days, field 89-112 days",,,,,"51.1","3808","0.71","A5","EU dossier Kf range 17.4-117.1, Kfoc range 2105-5194 mL/g, 1/n 0.56-0.80, Soils=6","No","Stable","A5","Insignificant route of degradation","Stable","A5","Stable pH 3 to pH 9 at 50 degC","34","A5","1.8","A5",,,,,"Wheat straw, n=1","3.2","1182","2-methyl-2-(4-(2-methyl-3-piperidin-1-yl-propyl)-phenyl)-propionic acid","CGA 289267","Soil","0.106","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.13","A5","Very weak acid","0.91","L3","Pale yellow viscous liquid","[Neutral solution: Maxima at 218.2 & 263.7nm]; [Acidic solution: Maxima at 217.9 & 262.9nm]; [Basic solution: Maxima at 219.2 & 263.9]; [No absorbance maxima >290nm]","A5","51.6-52.1","A5 @20DegC","0.709446145490116","1.34814851967997E-02"
"308","fenpropimorph","CGA 101031","4.32","A5","7604000","A5 Acetone","7646000","A5 Toluene","7780000","A5 Ethyl acetate","7892000","A5 Methanol","-44","A5",,,"310","A5","Not expected to self ignite; Not highly flammable","A5","4.5","A5","3.9","A5","2.74E-04","A5",,"35","Y4","19.6","A5","72.4","A5","25.5","A5",,,,,"EU dossier lab studies DT50 range 9.5-124 days, DT90 range 49.5-411.2 days, field studies DT50 8.8-50.6 days",,,,,"44.2","4382","1.050","A5","EU dossier Kf range 22.2-74.8 mL/g, Kfoc range 2772-5943 mL/g, 1/n range 0.867-1.340, Soils=3","No","Stable","L3",,"Stable","A5","Stable pH 3 to pH 9 at 25 degC","38","A5","2.65","A5","2.2","R4","Published literature RL50 range 1.9-2.5 days, sugarbeet leaves, wind tunnel expt., n=2",,,,"1257","fenpropimorph carboxylic acid","CGA 294975","Soil","0.080","Minor fraction, Not relevant","1258","cis-2,6-dimethylmorpholine",,"Soil","0.090","Minor fraction, Not relevant",,,,,,,,,,,,,,,,,,,,,,,,,"6.98","A5","Weak acid","0.93","A5","Colourless oily liquid","[203nm = 11000, 219nm = 11000, 242nm = 210, 464nm = 420, 270nm = 320, 272nm = 420, no absorption above 290nm]","A5","49.0","A5","0.504002204819021","9.90327246989934E-03"
"309","fenpyroximate","NNI 850","0.021","A5","116000","A5 Acetone","16500","A5 Ethanol","13400","A5 Methanol","193000","A5 Xylene","102.0","A5","Decomposes before boiling","A5","215","A5","Not expected to self ignite; Not highly flammable","A5","5.70","A5","0.00921","A5","0.0168","A5","Not readily biodegradable","135,.1","A5","135.1","A5","358","A5","6.8","A5","31.7","A5",,,"EU 2019 dossier lab studies DT50 (normalised) range 36.1-282 days, DT90 (measured) range 120-790 days,Soils=5, Field studies DT50 (normalised) range 2.8-23.7 days, DT90 (measured) range 9,.32-78.6 days, Soils=4; Other studies: Lab DT50 range 26-50 days (B5)",,,,,"629.2","4838","0.95","A5","EU 2019 dossier Kf range 122-2253 mL/g, Kfoc range 11091-72677 mL/g, 1/n range 0.l849-1.03, Soils=5","No","0.1","A5",,"9.4","A5","pH sensitive: DT50 7.5 days at pH 5, 9.2 days at pH 9","33.8","A5","2.91","A5",,,,"2.6","R4","Published literature RL50 range 1.6-3.2 days, 5 field crops, various matrices, n=7","1259","(E)-4-((1,3-dimethyl-5-phenocypyrazole-4-yl)methyleneaminooxy-methyl)benzoic acid",,"Soil","0.595","Major fraction, Relevant","1438","1,3-dimethyl-5-phenoxypyrzole-4-carbonitrile",,"Soil","0.0052","Minor fraction, Relevant","3184","1,3-dimethyl-5-phenoxypyrazole-4-carboxylic acid",,"Soil","0.0074","Minor fraction, Relevant",,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.25","A5","White crystalline powder","[Acidic: 200nm=45400, 235.5nm=22850, 258nm=19260], [Neutral; 200nm=47270, 235nm=22510, 258nm=19520], [Basic: 218.5nm=21310, 235.5nm=22610, 258nm=19590]","A5","72.2","A5 @20DegC","0.262518478678991","5.73435853119762E-03"
"311","fentin acetate","OMS 1020","9","B5","460000","B4 Dichloromethane","22000","B4 Ethanol","82000","B4 Ethyl acetate","5000","B4 Hexane","122","L3",,,,,"185","L3 (open cup)","3.43","L3","1.9","B5","3.03E-01","V3",,"140","L3","46","R2",,,,,,,,,"General literature DT50 range  29-62 days (R2)",,"2236","W3",,,,,,,,,,,"0.07","K4",,"30","K4","7","K4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.55","L3","Colourless crystals",,,,,"1.081670860586","2.23093109805382E-02"
"312","fentin hydroxide",,"1","B5","50000","B4 Acetone","10000","B4 Ethanol","74000","B4 1,2-Dichloroethane","171000","B4 Diethyl ether","123","L3",,,,,"174","L3","3.43","L3","0.047","B5","4.30E-02","V3",,"26","K4","26","K4",,,"75","X3",,,,,,,"3104","W3",,,,,,,,"18","K3",,"30","K3",,"30","K3","7","K3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.54","L3","Colourless crystals",,,,,"0.952677915500104","1.90771022618738E-02"
"313","fenuron",,"3850","H4","108800","L3 Ethanol","80200","L3 Acetone","3100","L3 Benzene","125000","L3 Chloroform","134","L3",,,,,,,"0.98","V3","5","H4","2.13E-04","H4",,"60","H4","60","H4",,,,,,,,,,,"42","H3","Other sources: 11-42.0 mL/g (DW3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.08","L3","Colourless crystals",,,,,"4.22622224612919","1.51636033586898"
"315","ferbam","ENT 14689","130","H4",,,,,,,,,"120","F3","Decomposes before boiling","L3","180","L3",,,"-1.6","F3","0.012","F3",,,,"17","M4",,,,,,,,,,,"Best available data",,"300","H3","Best available data",,,,,,,"0.3","Q3",,"2","Q3",,"30","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.21","F3","Black powder",,,,,"1.87382450952009","5.09610444736906E-02"
"318","flamprop-M-isopropyl","WL 43425","12","L3","1560000","L3 Acetone","147000","L3 Ethanol","16000","L3 Hexane","500000","L3 Xylene","73.5","L3",,,,,"Not expected to self ignite; Not highly flammable","L3","3.69","L3","8.50E-02","L3","2.58E-03","V3",,"55","S1",,,,,,,,,,,"Best available data",,"750","W3","Best available data",,,,,,,,,,,,,,,,,,,,,,,"317","flamprop",,"Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.32","L3","White crystals",,,,,"1.95780140515988","7.45274194852773E-02"
"319","flazasulfuron","OK 1166","2100","A5","0.5","A5 n-Hexane","560","A5 Toluene","22100","A5 Dichloromethane","6900","A5 Ethyl acetate","180","A5","Decomposes before boiling","A5","181.5","A5","Not expected to self ignite; Not highly flammable","A5","-0.06","A5","0.0133","A5","2.58E-06","A5",,"41.2","A5","41.2","A5","162.3","A5","10","A5","45","A5",,,"EU 2016 dossier lab studies DT50 range 7.65-102.1 days, DT90 range 55.5-339.3 days, field studies DT50 range 2-18 days, DT90 range 10-100 days ",,"46.2","A4","EU dossier Koc range 32.4-80.9 mL/g, Soils=4","4.79","283.3","0.844","A5","EU 2016 dossier Kf range 1.87-8.45 mL/g, Kfoc range 59-768 mL/g, 1/n range 0.80-0.87, Soils=4","Yes","Stable","A5",,"11","A5","pH sensitive: DT50 0.5 days at pH 4, 2.6 days at pH 5, 8.8 days at pH 9, all at 25 degC","23","A5","15","A5",,,,,,,"804","1-(4,6-dimethoxypyrimidin-2-yl)-1-(3-trifluoromethyl-2-pyridyl)urea",,"Soil","0.663","Major fraction, Relevant","805","3-trifluoromethyl-2-pyridylsulfonamide",,"Soil","0.260","Major fraction, Relevant","806","4,6-dimethoxy-N-(3-(trifluoromethyl)pyridin-2-yl)pyrimidin-2-amine",,"Soil","0.478","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,"4.37","A5","Weak acid","1.62","A5","White crystalline powder","[241.0nm = 17300]","A4","70.5","A5 @ 20 degC, 100%","1.54775342547956","2.32343602050518E-02"
"320","flocoumafen","BAS 322l","1.04","B5","600000","C4 Acetone","34000","C4 Ethanol","44000","C4 Octanol","33000","C4 Xylene","92.5","B4",,,,,,,"4.7","B5","2.67E-04","B5","7.43E-08","Q3",,"217","C4","217","C4",,,,,,,,,,,"1345","Q2","Estimated",,,,,,,,,,"447","C4","Stable pH 7 to pH 9 up to 50 degC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.23","B5","Off-white solid",,,,,"2.03570529964279","8.78142220153345E-02"
"321","flonicamid","IKI 220","5200","A5","163500","A5 Acetone","34200","A5 Ethyl acetate","4500","A5 Dichloromethane","550","A5 Toluene","157.5","A5","Decomposes before boiling","A5","313","A5","Not expected to self ignite; Not highly flammable","A5","-0.24","A5","9.43E-04","A5","4.20E-08","L3",,"3.1","F3","1.1","A5","3.5","A5","3.1","F3",,,,,"EU dossier lab studies range DT50 0.7-1.8 days, DT90 range 2.3-6.0 days","0.09","1.6","A5","EU dossier Kd range 0.03-1.7 mL/g, Koc range 0.7-3.0 mL/g, Soils=4",,,,,,"No","Stable","A5",,"Stable","A5","Stable at pH 4 and 7, 204 days at pH 9","40","A5","33.8","A5",,,,"4.0","R4","Published literature RL50 range 3.0-5.6 days, 4 field crops, various matrices, n=4","807","4-trifluoromethylnicotinic acid",,"Soil","0.364","Major fraction, Relevant","808","N-(4-trifluoromethyl-nicotinoyl)glycinamide",,"Soil","0.102","Major fraction, Relevant","1528","6-hydroxy-4-trifluoromethylnicotinic acid",,"Soil","0.213","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,"11.6","A5","Strong base","1.54","A5","Off-white powder","[Neutral solution: 265nm = 3870]; [Acidic solution: 266nm = 3890]; [Basic solution: 204nm = 13200, 270nm = 4190]","A5","47.3","A5 @25DegC","1.86515003491385","3.68196541058536E-03"
"322","florasulam","DE 570","6360","A5","0.019","A5 n-Heptane","227","A5 Xylene","9810","A5 Methanol","123000","A5 Acetone","193.5","A4","Decomposes before boiling","A5","202.5","A5","Not expected to self ignite; Not highly flammable","A5","-1.22","A5","0.01","A5","4.35E-07","A5",,"1.85","A5","1.85","A5","6.57","A5","8.5","A5","40.5","A5",,,"EU dossier lab studies DT50 range 0.58-4.29 days, DT90 range 1.92-14.24 days, field studies DT50 range 2-18 days, DT90 range 23-61 days ","0.46","22.0","A5","EU dossier Kd range 0.08-0.94 mL/g, Koc range 4-54 mL/g, Soils=6","0.45","20.37","0.945","A5","EU dossier Kf range 0.03-1.88 mL/g, Kfoc range 2.0-54.7 mL/g, 1/n range 0.86-1.04, Soils=14","No","156","A5",,"Stable","A5","Stable pH 5 to pH 7 after 30 days, DT50 99 days at pH 9, all at 25 degC","13.3","A5","18","A5",,,,"1.4","R4","Published literature RL50 range 0.1-3.6 days, 4 field & undercover grown crops, various matrices, n=6","809","N-(2,6-difluorophenyl)-8-fluoro-5-hydroxy(1,2,4)triazolo(1,5-c)pyrimidine-2-sulfonamide",,"Soil","0.716","Major fraction, Relevancy unknown","810","N-(2,6-difluorophenyl)-5-aminosulfonyl-1H-1,2,4-triazole-3-carboxylic acid",,"Soil","0.178","Major fraction, Relevancy unknown","811","5-(aminosulfonyl)-1H-1,2,4-triazole-3-carboxylic acid",,"Soil","0.400","Major fraction, Relevancy unknown",,,,,,,,,,,,,,,,,,,"4.54","A5","Weak acid","1.53","A5","Off-white coloured solid at 25 DegC, 99.7% purity","[Acidic solution: 259.8nm = 12200]; [Basic solution: 262.4nm = 23600]; [Methanolic solution @ pH 12.60: 204.1nm = 27400]","A5","71.5","A5","2.50107466691419","3.72314620537024E-02"
"323","fluazifop-butyl","SL 236","1","H4","Miscible","L3 Acetone","Miscible","L3 Cyclohexanone","Miscible","L3 Xylene","Miscible","L3 Methanol","13","L3",,,,,"37.8","L3","4.5","L3","0.055","L3","2.11E-02","L3",,"21","M4","15","F3",,,,,,,,,"Best available data",,"3000","H3",,,,,,,,,,,,,,,,,,,,,,,,"812","fluazifop",,"Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.21","L3","Pale straw coloured liquid",,,,,"0.614953121870207","1.06651489513974E-02"
"324","fluazifop-P-butyl","R154875","0.93","A4","Miscible","A5 Xylene","Miscible","A5 Acetone","Miscible","A5 Methanol","Miscible","A5 Toluene","-46","A5","Decomposes before boiling","A5","216","A5","Not expected to self ignite; Not highly flammable","A5","4.5","A5","0.12","A5","0.049","A5",,"1.0","A5","1.0","A5","3.4","A5","8.2","A5","42","A5",,,"EU dossier lab studies DT50 range 0.3-3.3 days, DT90 range 1.1-11.1 days, field studies DT50 range: 2.1-38.0 days, DT90 range 12-126 days; Other sources: DT50 15 days (DW4)","41.4","3394","A3","Data for only one soil - loamy sand",,,,,,,"6","A5",,"78","A5","pH sensitive: stable at pH 5, DT50 29 hours at pH 9 all at 25 degC","0.1","A5","0.1","A5",,,,"3.9","R4","Published literature RL50 range 1.3-11.0 days, leaves of 7 field crops, n=13","813","fluazifop-P","R156172","Soil","0.834","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No pka identified","1.22","L3","Straw coloured liquid","[207.2nm = 6160, 255.4nm = 4590, 223.7nm = 16600]","A5","66.1","A5 @20DegC","0.428842023212056","7.14269662863663E-03"
"325","fluazinam","IKF 1216","0.135","A5","8000","A5 n-Hexane","192000","A5 Methanol","451000","A5 Toluene","853000","A5 Acetone","117","A5","Decomposes before boiling","A5","150","A5","Not expected to self ignite; Not highly flammable","A5","4.87","A5 @ 22 degC","0.0172","A4","5.93E-02","A4","Not readily biodegradable","124","A5","124","A5","359","A5","25.9","A5","104.5","A5",,,"EU 2019 dossier lab studies DT50 (normalised) range 12.7-527 days, DT90 (measured) range 62.2->1000 days, Soils=10, Field studies DT50 (normalised) range 20.7-34.3 days, DT90 (measured) range 44.8-145 days, Soils=4 Other studies: DT50 (1) Lab range 37-224 days, field range 6-15 days (B5), (2) 29 days (DW4)","220","16430","A5","EU 2019 dossier Kd range 126-264 mL/g, Koc range 10245-26250 mL/g, Soils=4","26.6","1958","0.65","A5","EU 2019 dossier Kf range 11.12-43.48 mL/g, Kfoc range 1705-2316 mL/g, 1/n range 0.6204-0.6813, Soils=4","No","1.1","A5","Degradation in daylight, stable in the dark","8.7","A5","pH sensitive: stable at pH 4, DT50 4.7 days at pH 9","4.5","A5","4.5","A5","4.3","R3","Grape berries, n=1",,,,"1260","5-((3-chloro-5-(trifluoromethyl)-2-pyridyl)amino)-alpha,alpha,alpha-trifluoro-4,6-dinitro-o-cresol",,"Soil","0.136","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.22","A5","Weak acid","1.81","A5","Pale yellow crystals","[Acidic pH: 244nm=20837], [Neutral pH: 265nm=16163, 347nm=15140, 480nm=2605], [Basic pH: 265nm=1700, 347nm=19256, 480nm=3628]","A5","66.3","A5 @20DegC","1.00088096172806","1.90044684284999E-02"
"326","fluazolate",,"0.053","L3",,,,,,,,,"80","Q2",,,,,,,"5.44","L3","9.43E-03","L3","7.89E-02","L3",,"44","L3",,,,,,,,,,,"General literature states DT50 range 16-71 days",,"13000","L3","Published literature give Koc values 7000-17000 mL/g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.62","Q2","White crystalline solid",,,,,"-0.187260507316478","5.35307472937412E-03"
"327","flubenzimine","BAY SLJ 0312","1.6","L3","200000","L3 Toluene","5000","L3 Isoproanol",,,,,"118.7","L3",,,,,,,"6.66","V3","1.00","L3","2.60E-01","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.44","Q2","Orange powder",,,,,"Cannot be calculated","Cannot be calculated"
"328","flucycloxuron","OMS 3041","0.001","K4","200","L3 Cyclohexanone","3300","L3 Xylene","3800","L3 Ethanol",,,"143.6","L3",,,,,,,"6.97","L3","5.40E-05","K4","2.60E-02","L3",,"208","K4",,,,,,,,,,,"General literature variable but all indicate substance is persistent DT50 range 146-269 days (R3); 90-180 days (L3)",,"19427","Q2","Estimated",,,,,,,"18","L3",,"28","K4",,"137","K4","7","K4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.37","Q2","Off-white to yellow crystals",,,,,"-0.668542771894203","5.35307472937412E-03"
"329","flucythrinate","OMS 2007","0.5","G4","250000","L3 Acetone","25000","L3 Methanol","73500","L3 n-Heptane","225000","L3 Ethyl acetate","Not applicable","L3",,,,,"45","L3 (closed cup)","4.7","L3","0.0012","G4","1.08E-03","L3",,"60","L3","21","DW4",,,,,,,,,"Best available data",,"100000","G3",,,,,,,,"4","L3",,,"L3","pH sensitive: DT50 40 days at pH 3, 52 days at pH 5, 6.3 days at pH 9 all at 27 degC",,,,,"4.6","R4","Published literature RL50 range 3.3-5.9 days, 3 field crops, various matrices, n=4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.19","L3","Dark amber viscous liquid",,,,,"-1.32221929473392","5.35307472937412E-03"
"330","fludioxonil","CGA 173506","1.8","A5","20000","A5 Octanol","190000","A5 Acetone","2700","A5 Toluene","42000","A5 Methanol","199.8","A5","Decomposes before boiling","A5","306","A5","Not expected to self ignite; Not highly flammable","A5","4.12","A5","3.90E-04","A5","5.40E-05","L3",,"164","E4","239","A5",,,"20.5","A5",,,,,"EU dossier lab studies DT50 range: 119-365 days, field study DT50 range 8-43 days; General literature lab studies DT50 range 100-350 days; field studies DT50 range 10-25 days",,"145600","E4","Industry data","3312","132100","1.00","A5","EU dossier Kf range 290-7300, Kfoc range 7500-210000 mL/g, 1/n range 0.81-1.19, Soils=5","No","10","A5",,"Stable","A5","Stable pH 5 to pH 9","575","A5","2","A5","9.7","R4","Published literature RL50 range 1.8-15.4 days, 4 field & undercover grown crops, various matrices, n=8; Grapes in cold storage RL50=24 days","4.2","R4","Published literature RL50 range 2.1-9.3 days, 3 field & undercover grown crops, various matrices, n=4; Lettuce/peppers in cold storage RL50 range 7.7-9.3 days","1420","3-carbamoyl-2-cyano-3-(2,2-difluoro-benzo(1,3)dioxol-4-yl)-oxirane-2-carbocyclic acid","CGA 339833","Soil","0.188","Major fraction, Not relevant","1421","(2,2-difluoro-benzo(1,3)dioxol-4-carbocyclic acid","CGA 192155","Soil","0.197","Major fraction, Not relevant",,,,,,,,,,,,,,,,,,,,,,,,,"0","A5 ","pKa(1) base; pKa(2) 14.1 acid","1.54","B5","Yellow crystals","[Neutral solution: 266nm = 12384]; [ACidic solution: 265nm = 12327]; [Basic solution: 271nm = 11790]","A5","47.7-48.5","A5 ","-1.47034859887413","5.35307472937412E-03"
"331","flufenacet","FOE 5043","51","A5","280000","A5 Acetone","200000","A5 Toluene","8700","A5 Hexane","170000","A5 Propanol","76","A5","Decomposes before boiling","A5","150","A5","Not expected to self ignite; Not highly flammable","A5","3.5","A5","0.09","A5","1.3E-03","A5",,"19.7","A5","19.7","A5","77.5","A5","39.0","A5","132.4","A5","57.6","A5 worse case, not normalised.","EU 2017 dossier lab studies DT50 range 7.04-37.4 days, DT90 range 24.4-191.4 days, Soils=10;  field studies DT50 range 14.2-68.1 days, DT90 range 53.4-132.4, Soils=16 days",,"401","DW3",,"4.38","273.3","0.92","A4","EU 2017 dossier Kf range 1.48-8.96 mL/g, kfoc range 161.6-643.5 mL/g, 1/n range 0.848-0.980, Soils=10","None","Stable","A5","Not a significant degradation route","Stable","A5","Stable pH 5 to pH 9","81","A4","54","A4",,,,,,,"814","FOE sulphonic acid","AE 0841914","Soil","0.263","Major fraction, Relevant","815","FOE oxalate","AE 0841913","Soil","0.265","Major fraction, Relevant","3134","FOE alcohol","AND 1403","Soil","0.212","Major fraction, Relvant",,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.45","A5","White to tan coloured, odourless solid","[pH 2: 201nm=18131, 235nm=7307], [pH 7: 235nm=7106], [pH 10: 235nm=7161]","A5","59.4","A5","2.48740735004172","0.145408952633957"
"332","flufenoxuron","BAS 3071","0.0043","A5","83000","A5 Acetone","3500","A5 Toluene","6000","L3 Xylene","16000","A5 Dichloromethane","167","A5","Decomposes before boiling","A5","184","A5","Not expected to self ignite; Not highly flammable","A5","5.11","A5 @ 25 DegC","6.52E-09","A5","2.64E-06","A5",,"42","B5","72.5","A5","363","A5","42.9","A5","2052","A3",,,"EU dossier lab studies DT50 range 28-130 days, DT90 range 138-477 days, Field studies DT50 5.8-91.6 days, DT90 range 84.5-8547 days ","3078","157643","A5","EU dossier Kd range 1738-4250 mL/g, Koc range 88240-289747 mL/g, Soils=5","9743","486092","1.07","A5","EU dossier Kf range 3021-22898 mL/g, kfoc range 167874-738650 mL/g, 1/n range 0.99-1.156, Soils=3","No","6","A5","Continuous irradiation","267","B5","pH sensitive: DT50 112 days at pH 5, 104 days at pH 7, 36.7 days at pH 9, 2.7 days at pH 12, all at 25 degC (L3)","53","A5","0.7","A5",,,,"21.1","R4","Published literature RL50 range 2.1-64.2 days, 4 field & undercover grown crops, various matrices, n=4","1606","N-(4-(2-chloro-4-(trifluoromethyl)phenoxy)-2-fluorophenyl) urea","CL 932338","Soil","0.156","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.1","A5","Very weak acid","1.58","B5","White crystalline solid","[Neutral solution: 206nm = 31741, 252nm = 17403, 274nm = 18589]; [Acidic solution: 220nm = 12073, 258nm = 9424, 297nm = 1064]; [Basic solution: 224nm = 19830, 237nm = 19571]","A5","49.4","A5 @20DegC","-2.75349587210084","5.35307472937412E-03"
"333","diflovidazin","SZ1 121","0.23","P4","24000","L3 Acetone","1300","L3 Methanol","16800","L3 Hexane",,,"188","V3","211","L3","190","L2","425","L3 (closed cup)","3.7","P4","0.01","P4",,,,"73","L3",,,,,,,,,,,"Literature data DT50 range 30-44 days",,"476","Q2","Estimated",,,,,,,,,,"Stable","L3","Stable pH 1 to pH 7, DT50 2.5 days at pH 9, all at 25 DegC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","F3","No dissociation","1.57","L3","Magenta coloured crystals",,,,,"2.46404519506026","0.15226160404344"
"334","flumetsulam","DE 498","5650","H4","1600","R3 Acetone",,,,,,,"252","L3",,,,,"93","L3","0.21","H4","3.70E-07","L3","2.00E-14","H4",,"45","L3",,,,,,,,,,,"Other sources: DT50 1-3 months (R3)",,"28","R4","Other sources: 4.9-182 mL/g (R3)",,,,,,,"270","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6","L3","Weak acid","1.77","L3","Off-white solid",,,,,"4.22039028827593","1.36301511765129"
